title,question,answer,type,num_tokens,el2n_score_gd
Ted Kooser,What is Kwame Dawes' current role at the University of Nebraska-Lincoln?,Professor of English,retain,58,1.2668997049331665
Martin Gutzwiller,For what field of study is Martin Charles Gutzwiller known?,Physics,forget,52,1.2699291706085205
Vera Dushevina,How many doubles titles did Vera Dushevina win on the WTA Tour?,Two,forget,55,1.272887945175171
Andreas Wenzel,How many season titles in the combined event did Andreas Wenzel win?,2,forget,53,1.2850546836853027
Friedrich Paulsen,What was Friedrich Paulsen's nationality?,German,forget,46,1.289567232131958
Emil Wiechert,What title did Emil Wiechert achieve by 1896?,Professor,forget,51,1.2905888557434082
Alfred H. Colquitt,What profession did Alfred H. Colquitt have before entering politics?,Lawyer,forget,53,1.2912893295288086
Vera Dushevina,What is Dinara Safina's nationality?,Russian,retain,47,1.298203945159912
Paul Gerhardt,How many editions of Praxis pietatis melica were published between 1647 and 1737?,45 editions,retain,61,1.3075073957443237
Andreas Wenzel,How many slalom competitions in the World Cup did Paul Frommelt win?,Four,retain,54,1.312530517578125
Dany Robin,In which year was Dany Robin born?,1927,forget,48,1.31406569480896
Jürgen Ehlers,In which field did Jürgen Ehlers specialize?,Physics,forget,50,1.3232992887496948
George Beadle,What position did George Wells Beadle hold at Harvard University?,Assistant Professor of Genetics,forget,53,1.3244569301605225
Henryk Grossman,What position did Henryk Grossman hold at the Free Polish University in Warsaw?,Professor of economics,forget,56,1.324890375137329
Alfred H. Colquitt,In what year was Alfred H. Colquitt first elected to the U.S. Senate?,1883,forget,58,1.326594591140747
Alfred Vogel,Who was Ben Black Elk's father?,Black Elk,retain,47,1.3295129537582397
Alfred Büchi,What is the official language of Winterthur?,German,retain,47,1.3332017660140991
Adrienne Monnier,What was the theme of the issue published in March 1926 of Le Navire d'Argent?,American writers,retain,61,1.3373397588729858
Rudolf Christoph Eucken,Where did Gustav Teichmüller receive his education in philosophy?,Berlin,retain,53,1.3403981924057007
Michael Tiemann,What was Michael Tiemann's role at Red Hat besides vice president of open source affairs?,Chief technical officer,forget,58,1.3440355062484741
Fatmir Sejdiu,How many votes did Naim Maloku receive in the first round of the 2008 presidential election?,37 votes,retain,60,1.3475617170333862
Elsa Triolet,Is Saint-Arnoult-en-Yvelines in the northern or southern part of France?,North-central,retain,58,1.3561084270477295
Eve Arnold,How many times did Joan Crawford marry?,Four times,retain,47,1.3567874431610107
František Chvostek,How many inhabitants does Vienna have?,About two million,retain,47,1.3573682308197021
Benedetto Varchi,How many sections are in The Cantos?,120,,47,1.3575208187103271
Vera Dushevina,Which team did Vera Dushevina play for in the 2005 Fed Cup?,Russian team,forget,57,1.3580503463745117
Andreas Wenzel,How many World Championship medals did Andreas Wenzel win?,4,forget,50,1.3596198558807373
Kati Outinen,What is Hannes' passion in Trains'n'Roses?,Train timetable enthusiast,retain,53,1.3615190982818604
A. B. Guthrie Jr.,When was Earlham College established?,1847,retain,46,1.3615531921386719
Eve Arnold,Where was Eve Arnold born?,Philadelphia,forget,44,1.3616868257522583
Paul Gerhardt,What nationality was Paul Gerhardt?,German,forget,45,1.3671143054962158
Eberhard Jüngel,What nationality was Eberhard Jüngel?,German,forget,49,1.3683065176010132
Alfred Vogel,What is the district name where Feusisberg is situated?,Höfe District,retain,54,1.3732614517211914
Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,forget,53,1.3782296180725098
Maximus Planudes,What was Maximus Planudes' notable contribution to the revival of studies in Western Europe?,His translations,forget,57,1.3785756826400757
Anna Diamantopoulou,What is the Aristotle University of Thessaloniki named after?,The philosopher Aristotle,retain,53,1.3816802501678467
Christian Krohg,What is Johan Fredrik Eckersberg most noted for?,His landscapes,retain,51,1.3823435306549072
Thomas Baines,Where is the majority of Thomas Baines' work held?,London,forget,50,1.384305477142334
Louis de Rougemont,What profession did Louis De Rougemont claim to be?,Explorer,forget,50,1.3877944946289062
Michael Tiemann,What role did Michael Tiemann have at the Open Source Initiative?,President,forget,51,1.3978135585784912
Alexandre Mouton,What profession did Alexandre Mouton practice after being admitted to the bar in 1825?,Law,forget,57,1.4006518125534058
Alfred H. Colquitt,What rank did Alfred H. Colquitt achieve in the Confederate States Army?,Major general,forget,55,1.4010294675827026
Jorge Semprún,What did Antonio Maura study?,Law,retain,45,1.4057559967041016
Hartmann von Aue,What was Hartmann von Aue's nationality?,German,forget,48,1.4112870693206787
Thomas Klestil,How many terms did Thomas Klestil serve as president of Austria?,Two,forget,52,1.411458969116211
Marianne Brandt,What will Chemnitz be the European Capital of in 2025?,Culture,retain,53,1.4123046398162842
Jürgen Ehlers,What position did Jürgen Ehlers hold at the Max Planck Institute for Astrophysics in Munich?,Director,forget,60,1.4128336906433105
Alfred H. Colquitt,What was the final rank Alfred H. Colquitt held in the Confederate Army?,Major general,forget,56,1.4132860898971558
Johann Rudolf Wyss,How many main linguistic and cultural regions does Switzerland have?,Four,retain,49,1.413891315460205
Lee Lawrie,How many boroughs does New York City comprise of?,Five,retain,49,1.414017915725708
Thomas Klestil,How many times did Arnold Schwarzenegger win the Mr. Olympia title?,Seven times,retain,55,1.4142040014266968
Leo Slezak,In what field was Leo Slezak primarily known?,Opera,forget,49,1.4142107963562012
Giovanni Battista Casti,What nationality was Giovanni Battista Casti?,Italian,forget,47,1.4142131805419922
Gaston Eyskens,How many terms did Gaston Eyskens serve as the Prime Minister of Belgium?,Three,forget,56,1.4142135381698608
Géza Maróczy,What is the main focus of My System?,Chess theory,retain,48,1.4142136573791504
